StudentID,Name,Gender,Age,Course,Department,Year,GPA,Attendance_,City,AdmissionYear,FeePaid,Scholarship,PlacementStatus,InternshipsCompleted
STU00001,Kaira Suresh,Female,17,M.Tech,Computer Science,1,6.68,68.5,Hyderabad,2024,Yes,Yes,Placed,1
STU00002,Jhanvi Sunder,Female,26,B.Sc,Electronics,1,6.36,84.7,Vijayawada,2023,No,Yes,Placed,1
STU00003,Rasha Shankar,Male,23,M.Tech,Civil,3,6.17,96.4,Bangalore,2021,No,Yes,Not Placed,2
STU00004,Aayush Agarwal,Female,26,MBA,Electrical,1,7.48,64.7,Delhi,2024,No,Yes,In Progress,1
STU00005,Ehsaan Shankar,Male,23,M.Tech,Computer Science,1,6.48,71.0,Vijayawada,2024,Yes,Yes,Not Placed,2
STU00006,Ahana  Iyer,Male,19,B.Sc,Electrical,3,8.38,86.7,Pune,2020,Yes,Yes,Not Placed,2
STU00007,Kaira Bobal,Male,22,M.Tech,Commerce,2,6.89,89.2,Mumbai,2024,Yes,Yes,Not Placed,0
STU00008,Sumer Dara,Female,19,B.Sc,Electronics,3,8.32,75.0,Visakhapatnam,2020,No,Yes,In Progress,2
STU00009,Zaina Chandran,Male,17,M.Tech,Electronics,4,7.22,68.3,Bangalore,2023,Yes,No,Placed,1
STU00010,Oorja Anand,Male,18,MCA,Commerce,4,5.77,74.5,Vijayawada,2023,No,No,In Progress,2
STU00011,Bhamini Keer,Male,21,B.Tech,Electrical,4,7.45,96.2,Visakhapatnam,2020,No,Yes,Placed,2
STU00012,Lagan Chaudhry,Male,17,MCA,Mechanical,1,6.89,60.7,Visakhapatnam,2023,No,No,In Progress,0
STU00013,Piya Vyas,Female,25,B.Tech,Commerce,4,5.8,88.9,Chennai,2025,Yes,Yes,Not Placed,3
STU00014,Anvi Aggarwal,Female,18,B.Sc,Electronics,2,6.84,97.8,Visakhapatnam,2024,No,No,Placed,0
STU00015,Zoya Singhal,Male,17,B.Com,Computer Science,2,6.45,62.7,Delhi,2023,Yes,Yes,Placed,1
STU00016,Trisha Mand,Female,23,B.Com,Commerce,4,7.82,87.5,Visakhapatnam,2020,No,Yes,Placed,0
STU00017,Akarsh Sahota,Male,23,M.Tech,Civil,3,7.27,92.8,Delhi,2022,Yes,Yes,Placed,1
STU00018,Biju Sahota,Female,25,B.Sc,Mechanical,4,7.31,70.6,Bangalore,2020,Yes,Yes,Placed,0
STU00019,Eva Khare,Male,23,B.Tech,Management,2,7.25,78.3,Hyderabad,2020,No,Yes,Not Placed,2
STU00020,Jhanvi Dua,Male,21,MCA,Management,4,7.32,96.4,Visakhapatnam,2021,No,Yes,Placed,0
STU00021,Rania Master,Male,19,M.Tech,Electrical,1,8.01,79.1,Bangalore,2019,Yes,Yes,In Progress,0
STU00022,Zara Trivedi,Male,23,M.Tech,Management,2,6.02,93.8,Delhi,2022,Yes,Yes,Not Placed,1
STU00023,Riya Devan,Female,18,M.Tech,Commerce,3,6.64,65.0,Hyderabad,2020,No,No,Not Placed,0
STU00024,Baiju Som,Female,21,B.Tech,Electronics,2,6.64,95.5,Chennai,2023,Yes,Yes,Not Placed,2
STU00025,Kiaan Sandhu,Female,18,MBA,Management,1,9.01,71.4,Bangalore,2024,Yes,Yes,In Progress,1
STU00026,Devansh Suri,Female,17,B.Com,Electrical,2,6.97,86.1,Bangalore,2024,No,No,In Progress,3
STU00027,Prerak Kanda,Female,25,MCA,Electrical,1,6.93,65.0,Mumbai,2019,No,Yes,In Progress,0
STU00028,Arnav Halder,Male,17,B.Tech,Computer Science,2,5.65,74.0,Vijayawada,2023,Yes,No,Not Placed,0
STU00029,Anvi Sekhon,Male,19,B.Com,Mechanical,2,5.94,89.6,Chennai,2024,No,Yes,Not Placed,0
